species	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300
Halalkalibacillus sediminis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	9	12	14	10	10	16	4	13	7	10
Halioglobus sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	6	0	4	1	0	0	3
Halolactibacillus halophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	1	1	0	1	1	1	2	1
Halopseudomonas formosensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	3	1	2	0	3	1	0	0	6
Halopseudomonas litoralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	8	5	3	3	7	3	1	0	6
Halopseudomonas oceani	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	6	1	4	0	0
Halopseudomonas sabulinigri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	6	1	5	1	3	1	0	0	4
Heyndrickxia oleronia	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	65	9	7	15	11	10	2	13	2	14	6	12
Heyndrickxia sporothermodurans	0	0	0	0	0	0	0	0	2	1	0	0	2	0	1	0	0	0	0	0	0	2	0	3	0	2	1	1	1	0	0	0	0	1	1
Hymenobacter lapidarius	0	0	0	0	1	1	2	2	0	1	1	3	1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0
Isobaculum melis	0	0	0	0	2	1	0	4	3	2	1	0	17	1	1	1	0	0	0	1	1	0	0	3	3	3	0	1	0	1	0	0	4	2	1
Izhakiella capsodis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2	1	32	11	20	9	20	14	9	8	11
Klebsiella aerogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	7	11	6	11	9	2	7	0	10
Klebsiella michiganensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	1	17	18	10	24	7	15	14	3	17
Klebsiella oxytoca	0	0	0	0	0	1	1	0	4	1	1	2	3	0	4	0	0	0	1	0	2	1	2	7	7	2	24	20	12	30	13	17	18	11	22
Klebsiella pneumoniae	0	0	0	0	1	0	0	11	1	1	3	3	4	3	0	0	0	0	1	2	1	2	0	1	2	2	8	4	2	17	5	3	5	4	10
Klebsiella quasipneumoniae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	22	7	156	70	69	59	62	32	49	20	45
Klebsiella quasivariicola	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	3	8	2	7	13	6	20	4	8	5	5	9
Klebsiella sp. A-Nf5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	1	2	1	1	3	0	2
Klebsiella sp. AA405	0	0	0	0	0	0	0	7	4	1	0	2	7	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
Klebsiella sp. AS10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	2	1	2	2	1	1	2
Klebsiella sp. E-Nf3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	7	5	4	6	5	5	5	4	8
Klebsiella sp. HMSC09D12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	3	0	1	1	2	2	1	1
Klebsiella sp. HMSC16C06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	4	0	4	1	0	0	1	0
Klebsiella sp. HMSC22F09	0	0	0	0	0	1	0	3	1	1	2	1	9	1	0	1	0	0	0	1	0	0	0	0	0	0	2	1	2	3	0	0	2	0	0
Klebsiella sp. KG9	0	0	0	0	0	0	0	3	1	0	0	0	7	0	0	0	0	0	0	1	0	0	0	3	0	0	2	3	0	4	5	3	5	0	5
Klebsiella sp. KTE92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	16	12	9	4	8	5	8	2	6
Klebsiella sp. LTGPAF-6F	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	6	11	9	48	39	30	61	25	38	39	19	45
Klebsiella sp. MBT K-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	2	3
Klebsiella sp. T11	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	4	2	0	1	1	1
Kluyvera sp. Nf5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	1	2	0	1	1	1
Kosakonia cowanii	0	0	0	0	165	236	205	712	583	736	496	652	453	399	571	38	33	128	145	128	125	121	113	357	314	166	1334	1141	884	1142	1118	797	908	541	797
Kosakonia oryzendophytica	0	0	0	0	1	3	3	37	9	15	13	12	11	10	12	1	1	2	5	4	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0
Kosakonia radicincitans	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	3	2	3	2	0	2	3
Kosakonia sp. AG348	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	7	2	6	3	2	2	2	6
Laceyella sacchari	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	1	3	1	0	1	0	0
Lacticaseibacillus paracasei	0	0	0	0	3	2	2	0	3	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Lactiplantibacillus plantarum	0	0	0	0	15	12	8	2	5	1	0	1	4	5	6	2	3	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus sp. CBA3606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	3	1	1	2	0	0	0	0	0	0
Lactobacillus sp. HMSC24D01	0	0	0	0	2551	2736	2712	753	791	201	97	119	1395	1171	984	657	676	114	72	43	36	131	97	914	1307	1022	351	314	212	67	195	34	654	369	242
Leclercia adecarboxylata	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	2	1	13	17	7	13	15	13	9	13	10
Leclercia sp. LK8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	3	5	0	2	2	2	3	2	3
Leclercia sp. W6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	6	5	2	5	8	4	4	4	6
Lederbergia galactosidilytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	7	3	6	2	3	2	0	3	3	1
Lederbergia lenta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	1	1	0	0	4	1	2
Lelliottia amnigena	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	37	17	19	108	116	91	90	92	87	64	50	85
Lelliottia nimipressuralis	0	0	0	0	2	1	2	24	5	8	2	1	23	4	4	0	0	0	2	1	1	3	3	10	21	9	73	69	39	98	55	64	43	38	67
Ligilactobacillus aviarius	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	13	7	2	7	4	1	6	1	3	4	3
Ligilactobacillus saerimneri	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	1	2	1	0	2	0	0	1	2	1	0
Limosilactobacillus coleohominis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	4	5	2	0	0	1	0	0	2	0	0
Limosilactobacillus equigenerosi	0	0	0	0	11	10	5	5	3	1	2	0	22	5	4	9	0	1	1	0	0	0	1	5	13	11	0	1	0	1	0	0	3	2	2
Limosilactobacillus fermentum	1840000	1840000	1840000	1840000	6707	6946	7189	1970	2058	542	272	330	3869	3021	2364	1712	1840	291	206	103	104	347	247	8390	9693	7321	2669	2584	1768	584	1495	304	5096	2825	1810
Limosilactobacillus gastricus	0	0	0	0	24	35	15	25	17	2	0	0	43	11	11	16	8	2	4	1	1	2	3	6	9	2	4	1	1	0	0	0	4	2	2
Limosilactobacillus ingluviei	0	0	0	0	4	5	4	4	1	1	0	0	12	2	2	2	1	0	0	0	0	1	0	31	42	44	17	16	7	3	7	1	35	21	10
Limosilactobacillus mucosae	0	0	0	0	14	6	18	11	11	2	0	1	38	10	7	8	6	1	2	0	1	4	2	10	7	4	1	3	2	0	0	0	5	1	2
Limosilactobacillus oris	0	0	0	0	6715	6725	7265	2134	2063	570	261	347	4233	3071	2431	1771	1785	259	216	99	115	343	251	10042	12565	9914	3558	3423	2256	762	1929	381	6621	3876	2332
Limosilactobacillus panis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	2	1	0	1	0	1	0	0	1	1	0
Limosilactobacillus reuteri	0	0	0	0	1	1	0	11	2	1	1	0	22	3	2	7	1	0	1	0	0	0	0	5	8	2	2	3	1	2	2	0	2	1	3
Listeria fleischmannii	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	27	25	13	7	7	6	1	7	2	14	7	4
Listeria grandensis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	40	53	30	14	18	8	3	8	8	21	14	18
Listeria grayi	0	0	0	0	3	2	4	0	2	0	0	0	4	1	0	1	1	0	1	0	0	0	0	49	24	12	11	8	5	2	5	0	12	7	10
Listeria innocua	0	0	0	0	800	910	866	227	292	105	44	62	501	381	218	239	206	46	23	15	16	43	83	1259	1407	1149	355	470	305	142	247	63	740	459	554
Listeria ivanovii	0	0	0	0	1	2	1	0	0	0	0	0	13	1	0	1	0	0	0	0	0	0	0	74	80	60	23	40	13	6	10	1	37	28	26
Listeria kieliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	22	13	6	11	6	3	6	2	15	7	5
Listeria marthii	0	0	0	0	0	0	1	1	1	0	0	0	4	0	0	2	0	1	0	1	0	0	0	154	172	129	37	61	59	11	25	8	77	42	55
Listeria monocytogenes	1410000	1410000	1410000	1410000	15018	17398	17692	3896	5724	1916	945	1306	9322	7072	3625	4174	3693	876	482	317	363	1021	1316	8714	9385	8104	2241	3206	2306	847	1609	446	5130	3200	3723
Listeria newyorkensis	0	0	0	0	0	0	0	6	1	2	0	0	11	0	0	1	0	0	2	0	0	0	0	28	84	74	8	17	9	9	6	3	27	18	36
Listeria riparia	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	118	93	53	44	37	35	13	24	6	43	32	33
Listeria seeligeri	0	0	0	0	16	19	18	4	9	4	2	2	29	6	6	8	6	0	1	0	0	1	1	1879	2032	1656	498	657	464	194	342	88	982	597	750
Listeria weihenstephanensis	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	130	179	201	44	59	42	23	27	7	95	61	88
Listeria welshimeri	0	0	0	0	70	75	77	16	32	10	4	7	42	31	11	22	11	2	1	0	4	6	5	1638	1719	1536	440	588	409	165	257	80	942	566	695
Listeriaceae bacterium FSL A5-0209	0	0	0	0	0	1	0	4	1	1	0	0	8	0	0	0	0	0	0	0	1	0	0	7	18	21	1	7	2	3	2	1	12	6	14
Litchfieldia salsa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	4	13	7	15	8	15	3	12	7	9
Luteimonas weifangensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	9	7	12	5	12	3	8	4	4
Lysinibacillus fusiformis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3	0	1	1	2	0	1	0	2	0	1
Lysinibacillus sp. BF-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	2	1	0	1	1	2	0	1	1	0
Lysinibacillus sphaericus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	2	0	2	1	0	0
Lysinibacillus xylanilyticus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	226	53	22	79	68	59	23	71	34	64	28	34
Mammaliicoccus fleurettii	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	9	10	9	9	10	1	0	1	0	2	1	1
Mammaliicoccus sciuri	0	0	0	0	0	2	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	28	36	34	15	12	10	3	3	0	6	1	4
Mangrovibacter sp. MFB070	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	7	1	0	15	18	10	13	5	7	8	6	2
Margalitia shackletonii	0	0	0	0	0	0	0	1	0	0	1	0	4	0	0	0	0	0	0	1	0	1	0	3	0	2	2	1	1	1	3	0	3	1	0
Marinobacter vulgaris	0	0	0	0	0	0	0	14	4	1	1	0	11	0	2	0	0	0	1	3	2	0	0	43	42	23	138	141	111	118	116	98	95	65	89
Massilia sp. WF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	2	4	1	0	0	1	0	0	1	1
Melghirimyces thermohalophilus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	50	27	46	54	43	22	63	14	44	26	50
Melissococcus sp. OM08-11BH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	1	0	1	0	0	0	2	0
Mesobacillus persicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	11	6	7	8	12	10	12	6	12	10	16
Methylobacterium frigidaeris	0	0	0	0	0	4	5	10	9	4	7	4	11	4	7	0	0	0	0	2	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0
Methylobacterium radiotolerans	0	0	0	0	2	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	5	5	1	1	4	0	1	4	1	3	1	5
Methylophaga sp. 42_25_T18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	4	4	5	1	1	2	1	3
Micavibrio sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	4	0	0	2	2	3	3	0	1
Microbacterium esteraromaticum	0	0	0	0	3	7	3	6	7	11	0	6	6	8	6	1	0	3	1	3	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0
Mixta gaviniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	5	4	40	15	12	18	20	15	16	9	11
Musicola paradisiaca	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	5	1	7	5	1	2	1	2
Mycobacterium diernhoferi	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	4	0	5	0	1
Natribacillus halophilus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	52	11	6	18	18	18	7	18	7	19	6	13
Nitratireductor sp. StC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	2	0	0	0	0	2	1	1
Nostoc sp. RF31YmG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	5	3	2	2	0	1	2	3
Oceanobacillus caeni	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	1	0	0	0	1	1	0
Oceanobacillus picturae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	3	1	2	4	0	2	4	1	5	0	2
Oceanobacillus sp. E9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	5	1	7	0	2	0	4
Oceanobacillus zhaokaii	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	30	57	50	60	101	57	82	100	29	76	44	96
Oxalobacteraceae bacterium IMCC9480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	0	8	4	0	2	6	4	1	1	2
Paenibacillus sp. AD87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	0	2	2	1	1	1	2
Paenibacillus sp. ICGEB2008	0	0	0	0	52	74	62	70	100	97	54	78	114	55	113	17	12	28	21	20	18	18	19	8	8	6	5	12	15	14	16	5	9	5	15
Paenibacillus sp. Leaf72	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	5	3	2	4	3	1	0	3	1	5
Paenibacillus sp. P1XP2	0	0	0	0	3	6	3	1	4	2	3	4	4	2	8	2	0	0	0	1	1	0	1	0	1	0	5	0	2	0	3	1	2	2	1
Paenibacillus sp. PCH8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	1	2	1	0	2	0	1	0	0
Paenibacillus xylanivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	4	5	4	7	4	6	1	2	4	5
Paenisporosarcina sp. OV554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	1	1	0	1	0	1	1	1
Pantoea agglomerans	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	8	1	1	14	6	3	14	8	6	12	9	5
Pantoea allii	0	0	0	0	1	0	0	7	4	4	0	2	27	2	3	1	0	1	1	5	3	1	0	0	1	0	5	7	2	1	1	3	1	1	3
Pantoea ananatis	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	4	6	3	5	1	0	4	4	2
Pantoea cypripedii	0	0	0	0	0	0	0	1	0	1	0	0	5	0	0	1	0	0	0	0	0	0	0	0	1	1	1	3	4	1	3	2	0	1	3
Pantoea rwandensis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	3	3	1	4	2	1	0
Pantoea sesami	0	0	0	0	0	0	0	0	2	0	1	0	0	2	1	0	0	0	0	0	0	0	0	5	1	0	18	15	16	11	14	10	16	8	10
Pantoea sp. 3_1284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	2	13	12	11	8	10	7	8	4	10
Pantoea sp. Ae16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	2	3	5	9	4	3	1	7
Pantoea sp. AMG 501	0	0	0	0	0	1	0	2	4	0	1	0	10	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	4	1	2	1	0
Pantoea sp. AS-PWVM4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	0	0	1	0	1
Pantoea sp. At-9b	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	3	1	5	4	2	5	2	0
Pantoea sp. FDAARGOS_194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	2	9	9	6	10	7	10	9	2	12
Pantoea sp. OXWO6B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	4	3	3	0	3	0	4	1	5
Pantoea sp. PNA 03-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	7	2	4	0	4	8	2	1	0
Pantoea sp. PSNIH2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	3	2	18	8	9	12	12	10	10	3	11
Pantoea sp. PSNIH3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	2	1	1	0	1	1	1
Pantoea sp. PSNIH4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	4	2	3	2	3	0	3
Pantoea sp. PSNIH5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	3	2	3	3	1	1	1	1
Pantoea sp. VS1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	0	1	2	1	0	1	0	2
Pantoea stewartii	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	7	1	2	18	5	11	15	8	11	4	6	7
Parabacteroides chinchillae	0	0	0	0	28	32	43	19	26	30	21	39	29	26	34	6	6	9	8	7	6	10	10	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia sacchari	0	0	0	0	1	0	0	4	7	10	1	2	8	0	0	1	2	0	0	1	1	0	0	98	97	64	364	310	259	322	353	228	237	122	252
Parageobacillus thermoglucosidasius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	7	2	11	8	12	4	11	2	9	2	4
Pasteurellaceae bacterium 15-036681	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	3	10	10	7	10	11	3	3	7	9
Paucilactobacillus oligofermentans	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	6	1	3	1	1	1	0	3	0	5	4	2
Paucilactobacillus wasatchensis	0	0	0	0	2	4	3	0	2	0	0	0	2	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Pectobacterium odoriferum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	1	4	1	0	2	1	2
Pectobacterium versatile	0	0	0	0	118	121	136	287	232	244	121	186	492	145	248	42	25	47	35	70	49	42	40	11	8	7	12	13	15	11	26	7	19	10	6
Peribacillus glennii	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	2	3	1	1	3	1	0	3	4
Peribacillus saganii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	1	4	1	0	5	3	6	1	5
Phenylobacterium parvum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	3	8	3	2	5	2	2	1	4
Photorhabdus sp. S10-54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	2	1	1	2	1	0	0	0
Phytobacter palmae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	9	6	37	32	14	35	23	25	23	15	32
Phytobacter ursingii	0	0	0	0	0	0	0	1	3	2	0	2	1	4	2	0	0	0	0	0	0	0	0	3	1	0	6	16	8	13	7	6	13	5	9
Planococcus donghaensis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	2	1	1	3	2	1	3	1	4	3	0
Planococcus glaciei	0	0	0	0	0	0	0	2	1	2	0	0	8	1	0	1	0	0	1	0	1	1	0	19	9	7	4	8	3	3	6	0	9	7	4
Planococcus halotolerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	0	2	0	0	0	2	0	1
Planococcus maitriensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	2	1	1	2	0	1	1	0
Planococcus maritimus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	4	1	3	2	0	1	0	1	1	2	2
Planococcus massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	2	1	0	0	1	1	1
Planococcus sp. MB-3u-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	2	3	0	0	0	1	0	1	1
Plantactinospora sp. BC1	0	0	0	0	3	3	3	0	4	3	1	1	1	2	2	0	0	0	2	0	0	1	2	7	3	1	12	6	3	5	7	5	4	5	6
